,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths,index
28092,09/04/2020,IL,247299,245371.0,1928.0,5594,226.0,8362,8143.0,219.0,38,10.0,09/05/2020 02:09:45 PM,Agree,Agree,
28093,05/12/2020,NC,16943,16935.0,8.0,765,0.0,640,640.0,0.0,15,0.0,05/12/2020 12:00:00 AM,Agree,Agree,
28094,02/17/2020,VT,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree,
28095,06/08/2021,CT,348154,318675.0,29479.0,66,18.0,8255,6785.0,1470.0,2,0.0,06/09/2021 02:26:44 PM,Agree,Agree,
28096,06/02/2020,WA,22237,,,205,0.0,1129,,,5,0.0,06/04/2020 12:00:00 AM,,,
28097,03/22/2021,ME,48774,37660.0,11114.0,131,30.0,731,708.0,23.0,2,0.0,03/23/2021 02:05:18 PM,Agree,Agree,
28098,02/10/2020,ID,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree,
28099,08/10/2020,VI,576,,,29,0.0,9,,,0,0.0,08/11/2020 02:16:27 PM,,,
28100,05/01/2020,ME,1123,1123.0,0.0,0,-35.0,55,55.0,0.0,0,0.0,05/02/2020 03:47:19 PM,Agree,Agree,
28101,02/12/2021,IL,1158431,1158431.0,0.0,2598,0.0,22027,19873.0,2154.0,42,10.0,02/13/2021 02:50:08 PM,Agree,Agree,
28102,01/07/2021,MI,608763,558755.0,50008.0,2723,296.0,14388,13569.0,819.0,88,5.0,01/08/2021 12:00:00 AM,Agree,Agree,
28103,07/05/2020,WA,35894,,,642,0.0,1359,,,5,0.0,07/07/2020 12:00:00 AM,,,
28104,02/23/2021,MT,99040,99040.0,0.0,230,0.0,1346,1346.0,0.0,5,0.0,02/24/2021 02:56:12 PM,Agree,Agree,
28105,08/08/2020,VT,1328,,,6,0.0,57,,,0,0.0,08/10/2020 12:00:00 AM,Not agree,Not agree,
28106,11/14/2020,MO,271136,,,2490,187.0,4132,,,55,0.0,11/16/2020 12:00:00 AM,Not agree,Not agree,
28107,04/21/2021,MS,311000,190672.0,120328.0,231,112.0,7261,5009.0,2252.0,5,2.0,04/23/2021 12:00:00 AM,Agree,Agree,
28108,02/20/2020,NH,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree,
28109,02/07/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree,
28110,10/06/2020,MS,105106,94849.0,10257.0,644,183.0,3329,3024.0,305.0,14,3.0,10/08/2020 12:00:00 AM,Agree,Agree,
28111,04/14/2020,DE,2061,2034.0,27.0,195,2.0,43,,,2,,04/16/2020 12:00:00 AM,Agree,Agree,
28112,08/30/2020,CT,52495,50387.0,2108.0,0,0.0,4465,3579.0,886.0,0,0.0,08/31/2020 02:05:56 PM,Agree,Agree,
28113,01/16/2021,ND,95864,92058.0,3806.0,150,16.0,1384,,,3,0.0,01/17/2021 03:43:14 PM,Agree,Not agree,
28114,05/29/2021,MD,459711,,,182,0.0,9599,9387.0,212.0,0,0.0,05/31/2021 12:00:00 AM,,Agree,
28115,01/05/2021,ID,144843,119461.0,25382.0,1538,555.0,1471,1298.0,173.0,12,4.0,01/06/2021 02:58:26 PM,Agree,Agree,
28116,02/08/2020,MT,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree,
28117,04/14/2020,NH,1091,,,71,,27,,,4,,04/13/2020 04:22:39 PM,Not agree,Not agree,
28118,10/23/2020,NV,93666,,,813,0.0,1738,,,2,0.0,10/24/2020 01:26:44 PM,,,
28119,06/11/2021,ND,110426,101319.0,9107.0,40,13.0,1520,,,0,0.0,06/12/2021 02:13:34 PM,Agree,Not agree,
28120,10/01/2020,MD,126222,,,712,0.0,4072,3916.0,156.0,8,0.0,10/03/2020 12:00:00 AM,,Agree,
28121,07/19/2021,ND,111067,101768.0,9299.0,59,25.0,1537,,,0,0.0,07/20/2021 02:48:47 PM,Agree,Not agree,
28122,04/06/2020,NE,412,,,45,,8,,,0,,04/08/2020 12:00:00 AM,Not agree,Not agree,
28123,07/15/2021,MO,642598,,,2337,603.0,9470,,,7,0.0,07/16/2021 02:03:13 PM,Not agree,Not agree,
28124,04/11/2020,ID,1407,,,11,,27,,,2,,04/10/2020 04:22:39 PM,Agree,Agree,
28125,02/17/2021,MT,97900,97900.0,0.0,234,0.0,1334,1334.0,0.0,3,0.0,02/18/2021 02:43:57 PM,Agree,Agree,
28126,12/19/2020,MO,408862,,,1932,313.0,6257,,,49,0.0,12/21/2020 12:00:00 AM,Not agree,Not agree,
28127,12/18/2020,ND,89788,87420.0,2368.0,231,38.0,1231,,,6,0.0,12/19/2020 02:42:31 PM,Agree,Not agree,
28128,06/05/2021,MD,460575,,,103,0.0,9644,9431.0,213.0,5,0.0,06/06/2021 01:36:52 PM,,Agree,
28129,09/01/2020,NE,34574,,,287,0.0,399,,,2,0.0,09/03/2020 12:00:00 AM,Not agree,Not agree,
28130,08/13/2020,ID,26631,24883.0,1748.0,498,33.0,251,225.0,26.0,5,1.0,08/14/2020 02:30:03 PM,Agree,Agree,
28131,11/01/2020,NE,71679,,,936,0.0,654,,,2,0.0,11/03/2020 12:00:00 AM,Not agree,Not agree,
28132,01/25/2021,MT,91816,91816.0,0.0,164,0.0,1151,1151.0,0.0,0,0.0,01/26/2021 02:46:01 PM,Agree,Agree,
28133,07/14/2021,ND,110958,101691.0,9267.0,32,9.0,1536,,,0,0.0,07/15/2021 02:29:47 PM,Agree,Not agree,
28134,03/18/2020,WA,1126,,,168,0.0,66,,,19,,03/20/2020 12:00:00 AM,,,
28135,02/05/2020,MI,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree,
28136,05/30/2020,NC,30196,30182.0,14.0,1112,0.0,967,967.0,0.0,20,0.0,05/30/2020 12:00:00 AM,Agree,Agree,
28137,07/15/2020,CT,47636,45653.0,1983.0,106,0.0,4380,3505.0,875.0,8,0.0,07/16/2020 02:22:21 PM,Agree,Agree,
28138,01/23/2020,DE,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree,
28139,05/19/2020,ND,1994,1994.0,0.0,63,0.0,45,,,1,0.0,05/20/2020 03:28:26 PM,Agree,Not agree,
28140,03/11/2021,WI,623801,568352.0,55449.0,651,149.0,7160,6524.0,636.0,10,10.0,03/12/2021 03:20:13 PM,Agree,Agree,
28141,12/25/2020,VI,1979,,,0,0.0,23,,,0,0.0,12/26/2020 02:34:18 PM,,,
28142,03/21/2021,VT,16486,,,157,0.0,215,,,0,0.0,03/23/2021 12:00:00 AM,Not agree,Not agree,
28143,02/09/2021,DE,82936,78834.0,4102.0,268,29.0,1221,1104.0,117.0,13,0.0,02/11/2021 12:00:00 AM,Agree,Agree,
28144,05/27/2021,MT,111623,101075.0,10548.0,169,59.0,1610,1610.0,0.0,3,0.0,05/28/2021 01:29:21 PM,Agree,Agree,
28145,01/31/2021,WI,592140,542415.0,49725.0,1143,136.0,6434,5896.0,538.0,4,1.0,02/01/2021 02:50:29 PM,Agree,Agree,
28146,10/02/2020,AL,169857,145547.0,24310.0,878,184.0,4010,3477.0,533.0,18,5.0,10/04/2020 12:00:00 AM,Agree,Agree,
28147,12/18/2020,NC,488357,447641.0,40716.0,7511,1185.0,6894,6484.0,410.0,67,18.0,12/18/2020 12:00:00 AM,Agree,Agree,
28148,10/13/2020,MI,260027,235566.0,24461.0,1948,195.0,7339,7003.0,336.0,21,1.0,10/14/2020 12:00:00 AM,Agree,Agree,
28149,05/09/2021,AL,542776,418436.0,124340.0,212,63.0,11172,8909.0,2263.0,11,2.0,05/11/2021 12:00:00 AM,Agree,Agree,
28150,07/26/2020,NE,24618,,,223,0.0,316,,,0,0.0,07/28/2020 12:00:00 AM,Not agree,Not agree,
28151,08/03/2020,ME,3975,3548.0,427.0,5,-2.0,123,122.0,1.0,0,0.0,08/04/2020 02:09:35 PM,Agree,Agree,
28152,11/19/2020,IL,621383,621383.0,0.0,14612,0.0,11648,11178.0,470.0,180,16.0,11/20/2020 03:06:16 PM,Agree,Agree,
28153,06/14/2020,MT,609,609.0,0.0,21,0.0,19,19.0,0.0,1,0.0,06/15/2020 02:33:03 PM,Agree,Agree,
28154,05/16/2020,IN,27280,,,625,0.0,1874,1714.0,160.0,34,1.0,05/16/2020 12:00:00 AM,Not agree,Agree,
28155,06/21/2021,IN,751526,,,71,0.0,13846,13422.0,424.0,8,0.0,06/21/2021 12:00:00 AM,Not agree,Agree,
28156,07/26/2020,NH,6436,,,21,0.0,409,,,0,0.0,07/27/2020 02:16:42 PM,Not agree,Not agree,
28157,06/05/2020,CT,43460,41387.0,2073.0,221,5.0,4038,3196.0,842.0,31,6.0,06/06/2020 02:31:37 PM,Agree,Agree,
28158,07/04/2021,CT,349562,319813.0,29749.0,43,4.0,8279,6807.0,1472.0,0,0.0,07/05/2021 02:30:02 PM,Agree,Agree,
28159,05/19/2020,CT,38430,36486.0,1944.0,314,4.0,3472,2687.0,785.0,23,3.0,05/20/2020 03:28:26 PM,Agree,Agree,
28160,08/14/2020,WI,68681,64227.0,4454.0,1059,38.0,1032,1025.0,7.0,7,0.0,08/15/2020 02:02:05 PM,Agree,Agree,
28161,11/01/2020,VI,1378,,,0,0.0,21,,,0,0.0,11/02/2020 02:53:09 PM,,,
28162,05/11/2021,NV,319250,,,470,0.0,5509,,,3,0.0,05/12/2021 02:33:56 PM,,,
28163,10/23/2020,MO,181177,,,2260,164.0,3222,,,32,0.0,10/25/2020 12:00:00 AM,Not agree,Not agree,
28164,11/03/2020,WA,112697,,,746,32.0,2400,,,22,0.0,11/05/2020 12:00:00 AM,,,
28165,07/23/2021,WI,682077,616503.0,65574.0,515,110.0,8240,7398.0,842.0,6,1.0,07/24/2021 02:21:11 PM,Agree,Agree,
28166,09/04/2020,ME,4667,4197.0,470.0,35,2.0,134,133.0,1.0,0,0.0,09/05/2020 02:09:45 PM,Agree,Agree,
28167,08/15/2020,WI,69547,65056.0,4491.0,866,37.0,1045,1038.0,7.0,13,0.0,08/16/2020 02:57:14 PM,Agree,Agree,
28168,03/18/2020,WI,106,,,18,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree,
